NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,10900.0,10200.0,700.0,0.06862745,10850.0,10900.0,10850.0,12240.0,133388600.0,0.0,0.0,12240.0,133388600.0,6080.0,-6080.0,0.0,0.0,66247500.0,-66247500.0,0.0,0.0
27/08/2026,10200.0,9620.0,580.0,0.06029106,10250.0,10250.0,10000.0,4213.0,42906620.0,0.0,0.0,4213.0,42906620.0,100.0,-100.0,0.0,0.0,1025000.0,-1025000.0,0.0,0.0
26/08/2026,9620.0,9000.0,620.0,0.06888889,8400.0,9620.0,8400.0,3000.0,28426000.0,0.0,0.0,3000.0,28426000.0,400.0,-400.0,0.0,0.0,3726000.0,-3726000.0,0.0,0.0
25/08/2026,9000.0,8500.0,500.0,0.05882353,9000.0,9000.0,9000.0,1000.0,9000000.0,0.0,0.0,1000.0,9000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,8500.0,8500.0,0.0,0.0,8500.0,8500.0,8500.0,501.0,4259090.0,0.0,0.0,501.0,4259090.0,301.0,-301.0,0.0,0.0,2559090.0,-2559090.0,0.0,0.0
21/08/2026,8500.0,9000.0,-500.0,-0.05555556,9000.0,9000.0,8500.0,700.0,6050000.0,0.0,0.0,700.0,6050000.0,500.0,-500.0,0.0,0.0,4250000.0,-4250000.0,0.0,0.0
20/08/2026,9000.0,9000.0,0.0,0.0,9000.0,9000.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,9000.0,9300.0,-300.0,-0.03225806,9300.0,9300.0,9000.0,1200.0,10830000.0,0.0,0.0,1200.0,10830000.0,1100.0,-1100.0,0.0,0.0,9900000.0,-9900000.0,0.0,0.0
18/08/2026,9300.0,9000.0,300.0,0.03333333,9300.0,9300.0,9300.0,600.0,5580000.0,0.0,0.0,600.0,5580000.0,600.0,-600.0,0.0,0.0,5580000.0,-5580000.0,0.0,0.0
17/08/2026,9000.0,9450.0,-450.0,-0.04761905,9000.0,9000.0,9000.0,400.0,3600000.0,0.0,0.0,400.0,3600000.0,400.0,-400.0,0.0,0.0,3600000.0,-3600000.0,0.0,0.0
14/08/2026,9450.0,9450.0,0.0,0.0,9450.0,9450.0,9450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/08/2026,9450.0,9450.0,0.0,0.0,9450.0,9450.0,9450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/08/2026,9450.0,10050.0,-600.0,-0.05970149,9450.0,9450.0,9450.0,520.0,4912000.0,0.0,0.0,520.0,4912000.0,20.0,-20.0,0.0,0.0,187000.0,-187000.0,0.0,0.0
11/08/2026,10050.0,10050.0,0.0,0.0,10050.0,10050.0,10050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/08/2026,10050.0,10050.0,0.0,0.0,10050.0,10050.0,10050.0,8.0,74800.0,0.0,0.0,8.0,74800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
