NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,3.0,182700.0,0.0,0.0,3.0,182700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,1.0,60300.0,0.0,0.0,1.0,60300.0,-1.0,1.0,0.0,0.0,-60300.0,60300.0,0.0,0.0
27/08/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/08/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/08/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/08/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/08/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/08/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,3.0,180900.0,0.0,0.0,3.0,180900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/08/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/08/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/08/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,8.0,482400.0,0.0,0.0,8.0,482400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/08/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,5.0,301500.0,0.0,0.0,5.0,301500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,1.0,60300.0,0.0,0.0,1.0,60300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,26.0,1657800.0,0.0,0.0,26.0,1657800.0,1.0,-1.0,0.0,0.0,64800.0,-64800.0,0.0,0.0
23/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,13.0,783900.0,0.0,0.0,13.0,783900.0,-13.0,13.0,0.0,0.0,-783900.0,783900.0,0.0,0.0
02/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/07/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30/06/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,600000.0,36240000000.0,600000.0,36240000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29/06/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,1.0,60300.0,0.0,0.0,1.0,60300.0,-1.0,1.0,0.0,0.0,-60300.0,60300.0,0.0,0.0
26/06/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,500000.0,30150000000.0,500000.0,30150000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/06/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/06/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23/06/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22/06/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/06/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/06/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/06/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,6.0,363600.0,0.0,0.0,6.0,363600.0,-6.0,6.0,0.0,0.0,-363600.0,363600.0,0.0,0.0
16/06/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/06/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/06/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/06/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/06/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/06/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/06/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/06/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,1.0,60300.0,0.0,0.0,1.0,60300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/06/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/06/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/06/2026,64800.0,64800.0,0.0,0.0,64800.0,64800.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
