NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,16500.0,16500.0,0.0,0.0,16500.0,16500.0,16500.0,1.0,16500.0,0.0,0.0,1.0,16500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,16500.0,16500.0,0.0,0.0,16500.0,16500.0,16500.0,3.0,49450.0,0.0,0.0,3.0,49450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,16500.0,16500.0,0.0,0.0,16500.0,16500.0,16500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,16500.0,16500.0,0.0,0.0,16500.0,16500.0,16500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,16500.0,16500.0,0.0,0.0,16500.0,16500.0,16500.0,500.0,8250000.0,0.0,0.0,500.0,8250000.0,500.0,-500.0,0.0,0.0,8250000.0,-8250000.0,0.0,0.0
25/08/2026,16500.0,16500.0,0.0,0.0,16500.0,16500.0,16500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,16500.0,16500.0,0.0,0.0,16500.0,16500.0,16500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/08/2026,16500.0,16500.0,0.0,0.0,16500.0,16500.0,16500.0,101.0,1666550.0,0.0,0.0,101.0,1666550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,16500.0,16500.0,0.0,0.0,16500.0,16500.0,16500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,16500.0,16500.0,0.0,0.0,16500.0,16500.0,16500.0,2.0,32100.0,0.0,0.0,2.0,32100.0,-1.0,1.0,0.0,0.0,-16050.0,16050.0,0.0,0.0
18/08/2026,16500.0,16500.0,0.0,0.0,16500.0,16500.0,16500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
