NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,15800.0,15800.0,0.0,0.0,15800.0,15800.0,15800.0,100.0,1580000.0,0.0,0.0,100.0,1580000.0,100.0,-100.0,0.0,0.0,1580000.0,-1580000.0,0.0,0.0
27/08/2026,15800.0,15100.0,700.0,0.04635762,15800.0,15800.0,15800.0,200.0,3160000.0,0.0,0.0,200.0,3160000.0,100.0,0.0,0.0,-100.0,1580000.0,0.0,0.0,-1580000.0
26/08/2026,15100.23,15900.0,0.0,0.0,15100.23,15100.23,15100.23,2.0,31800.0,0.0,0.0,2.0,31800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,15100.23,15900.0,0.0,0.0,15100.23,15100.23,15100.23,2000.0,31800000.0,0.0,0.0,2000.0,31800000.0,2000.0,-2000.0,0.0,0.0,31800000.0,-31800000.0,0.0,0.0
24/08/2026,15100.23,15000.0,900.0,0.06,15100.23,15100.23,15100.23,2000.0,31800000.0,0.0,0.0,2000.0,31800000.0,2000.0,0.0,0.0,-2000.0,31800000.0,0.0,0.0,-31800000.0
21/08/2026,14245.5,15000.0,0.0,0.0,14245.5,14245.5,14245.5,500.0,7500000.0,0.0,0.0,500.0,7500000.0,-400.0,400.0,0.0,0.0,-6000000.0,6000000.0,0.0,0.0
20/08/2026,14245.5,16000.0,-1000.0,-0.0625,14245.5,14245.5,14245.5,554.0,8347800.0,0.0,0.0,554.0,8347800.0,-146.0,146.0,0.0,0.0,-2152200.0,2152200.0,0.0,0.0
19/08/2026,15195.2,16100.0,-100.0,-0.00621118,15195.2,15195.2,15195.2,5000.0,80000000.0,0.0,0.0,5000.0,80000000.0,5000.0,-5000.0,0.0,0.0,80000000.0,-80000000.0,0.0,0.0
18/08/2026,15290.17,16100.0,0.0,0.0,15290.17,15290.17,15290.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,15290.17,16100.0,0.0,0.0,15385.14,15385.14,15290.17,200.0,3230000.0,0.0,0.0,200.0,3230000.0,-100.0,100.0,0.0,0.0,-1610000.0,1610000.0,0.0,0.0
14/08/2026,15290.17,16100.0,0.0,0.0,15290.17,15290.17,15290.17,300.0,4830000.0,0.0,0.0,300.0,4830000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/08/2026,15290.17,16100.0,0.0,0.0,15290.17,15290.17,15290.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/08/2026,15290.17,16100.0,0.0,0.0,15290.17,15290.17,15290.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2026,15290.17,16100.0,0.0,0.0,15290.17,15290.17,15290.17,2422.0,38994200.0,0.0,0.0,2422.0,38994200.0,1800.0,-2200.0,0.0,400.0,28980000.0,-35420000.0,0.0,6440000.0
10/08/2026,15290.17,15100.0,1000.0,0.06622517,15290.17,15290.17,15195.2,500.0,8040000.0,0.0,0.0,500.0,8040000.0,-100.0,100.0,0.0,0.0,-1610000.0,1610000.0,0.0,0.0
