NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,142000.0,142000.0,0.0,0.0,141900.0,142200.0,141000.0,919243.0,130528196400.0,0.0,0.0,919243.0,130528196400.0,0.0,-639300.0,-639300.0,713885.0,0.0,-90781350000.0,-90781350000.0,101372768900.0
03/09/2026,142000.0,143000.0,-1000.0,-0.00699301,142900.0,143000.0,140800.0,452378.0,64093090900.0,0.0,0.0,452378.0,64093090900.0,50629.0,0.0,-43700.0,-6929.0,7127829900.0,0.0,-6157800000.0,-970029900.0
28/08/2026,143000.0,142000.0,1000.0,0.00704225,143000.0,143500.0,140900.0,445910.0,63268232400.0,359800.0,51451400000.0,805710.0,114719632400.0,-59572.0,-81279.0,-118300.0,140851.0,-8495103200.0,-11465783500.0,-16716770000.0,19960886700.0
27/08/2026,142000.0,141900.0,100.0,0.00070472,141600.0,142200.0,140800.0,247869.0,35082513000.0,0.0,0.0,247869.0,35082513000.0,-42040.0,-44095.0,-122400.0,86135.0,-5970917701.0,-6225907400.0,-17309080000.0,12196825100.0
26/08/2026,141900.0,141800.0,100.0,0.00070522,142100.0,142300.0,140600.0,392353.0,55650528600.0,1081000.0,153285800000.0,1473353.0,208936328600.0,-121852.0,29953.0,-500.0,91899.0,-17305069300.0,4261192500.0,-56540000.0,13043876800.0
25/08/2026,141800.0,139700.0,2100.0,0.01503221,139800.0,142500.0,139800.0,801813.0,113637723000.0,3280.0,465104000.0,805093.0,114102827000.0,-256260.0,45557.0,-163300.0,210703.0,-36346540100.0,6484016700.0,-23149450000.0,29862523400.0
24/08/2026,139700.0,139500.0,200.0,0.00143369,140300.0,140800.0,139300.0,280311.0,39243820500.0,20080.0,2611176000.0,300391.0,41854996500.0,-70604.0,-24930.0,-63200.0,95534.0,-9909628501.0,-3481770100.0,-8828930000.0,13391398600.0
21/08/2026,139500.0,138000.0,1500.0,0.01086957,137200.0,140000.0,136700.0,464936.0,64516731900.0,0.0,0.0,464936.0,64516731900.0,-237872.0,214553.0,28700.0,23319.0,-33208667800.0,29958666800.0,4090020000.0,3250001000.0
20/08/2026,138000.0,136600.0,1400.0,0.0102489,136500.0,138500.0,136500.0,555106.0,76452036400.0,0.0,0.0,555106.0,76452036400.0,-272193.0,107161.0,133600.0,165032.0,-37486253800.0,14770193800.0,18403790000.0,22716060000.0
19/08/2026,136600.0,135900.0,700.0,0.00515085,134500.0,136600.0,134500.0,199619.0,27058593000.0,0.0,0.0,199619.0,27058593000.0,27114.0,-56284.0,-24500.0,29170.0,3652444100.0,-7609563100.0,-3312520000.0,3957119000.0
18/08/2026,135900.0,136900.0,-1000.0,-0.0073046,137300.0,137300.0,134000.0,332615.0,45075977200.0,0.0,0.0,332615.0,45075977200.0,184539.0,-127339.0,-142000.0,-57200.0,24973757800.0,-17239456600.0,-19228960000.0,-7734301200.0
17/08/2026,136900.0,136800.0,100.0,0.00073099,136800.0,137600.0,135400.0,246730.0,33662680300.0,0.0,0.0,246730.0,33662680300.0,13000.0,-13910.0,-21500.0,910.0,1755394500.0,-1885602500.0,-2906030000.0,130208000.0
14/08/2026,136800.0,136900.0,-100.0,-0.00073046,136900.0,138900.0,135000.0,321856.0,43922547800.0,0.0,0.0,321856.0,43922547800.0,126539.0,-112939.0,-140800.0,-13600.0,17156855800.0,-15316195800.0,-19110040000.0,-1840660000.0
13/08/2026,136900.0,136200.0,700.0,0.0051395,136800.0,138100.0,136200.0,293472.0,40211683500.0,0.0,0.0,293472.0,40211683500.0,74610.0,-161139.0,-170500.0,86529.0,10191030200.0,-22063183200.0,-23338530000.0,11872153000.0
12/08/2026,136200.0,136000.0,200.0,0.00147059,136000.0,138200.0,135400.0,262991.0,36042110200.0,0.0,0.0,262991.0,36042110200.0,6234.0,-17049.0,1600.0,10815.0,838234300.0,-2316838900.0,248100000.0,1478604600.0
11/08/2026,136000.0,136000.0,0.0,0.0,136200.0,137000.0,135500.0,186537.0,25365041900.0,0.0,0.0,186537.0,25365041900.0,49303.0,-49909.0,-51000.0,606.0,6690439300.0,-6774844700.0,-6920160000.0,84405400.0
10/08/2026,136000.0,134900.0,1099.0,0.00814671,135000.0,136000.0,133500.0,217848.0,29411111500.0,0.0,0.0,217848.0,29411111500.0,37676.0,-58082.0,7400.0,20406.0,5042957500.0,-7804409300.0,1013990000.0,2761451800.0
07/08/2026,134901.26,136900.0,0.0,0.0,134901.26,134999.8,133029.0,280986.0,38240377500.0,0.0,0.0,280986.0,38240377500.0,120074.0,-33813.0,-1200.0,-86261.0,16340054900.0,-4609168300.0,-158360000.0,-11730886600.0
06/08/2026,134901.26,137000.0,-100.0,-0.00072993,134999.8,135196.88,134014.4,79088.0,10816082700.0,8.0,1172000.0,79096.0,10817254700.0,-8169.0,-12845.0,-11000.0,21014.0,-1121927300.0,-1755264400.0,-1502080000.0,2877191700.0
05/08/2026,134999.8,138000.0,-1000.0,-0.00724638,135985.2,135985.2,134999.8,227430.0,31174226800.0,422000.0,54438000000.0,649430.0,85612226800.0,-15240.0,-61660.0,-78200.0,76900.0,-2086702700.0,-8445267300.0,-10713050000.0,10531970000.0
04/08/2026,135985.2,137700.0,300.0,0.00217865,135591.04,136083.74,133324.62,249183.0,34085236900.0,1578000.0,222537639000.0,1827183.0,256622875900.0,15916.0,49684.0,-19400.0,-65600.0,2118384800.0,6812635200.0,-2651810000.0,-8931020000.0
