NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
25/09/2026,11750.0,11800.0,-50.0,-0.00423729,11750.0,11750.0,11750.0,2719.0,31960900.0,0.0,0.0,2719.0,31960900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/09/2026,11800.32,12800.0,0.0,0.0,11800.32,11800.32,11800.32,9354.0,119731300.0,0.0,0.0,9354.0,119731300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23/09/2026,11800.32,13300.0,-500.0,-0.03759399,12261.27,12261.27,11800.32,3741.0,49014950.0,0.0,0.0,3741.0,49014950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22/09/2026,12261.27,13150.0,150.0,0.01140684,12261.27,12261.27,12261.27,1355.0,18016000.0,0.0,0.0,1355.0,18016000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/09/2026,12122.985,13500.0,-350.0,-0.02592593,12169.08,12169.08,12076.89,3221.0,42221700.0,0.0,0.0,3221.0,42221700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/09/2026,12445.65,13300.0,200.0,0.01503759,12445.65,12445.65,12445.65,2561.0,34576300.0,0.0,0.0,2561.0,34576300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/09/2026,12261.27,13200.0,100.0,0.00757576,12261.27,12445.65,12261.27,3101.0,41443300.0,0.0,0.0,3101.0,41443300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16/09/2026,12169.08,13100.0,100.0,0.00763359,11615.94,12169.08,11615.94,750.0,9758000.0,0.0,0.0,750.0,9758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/09/2026,12076.89,13100.0,0.0,0.0,11984.7,12076.89,11984.7,5004.0,65382400.0,0.0,0.0,5004.0,65382400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/09/2026,12076.89,13100.0,0.0,0.0,12076.89,12076.89,12076.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/09/2026,12076.89,13200.0,-100.0,-0.00757576,12076.89,12076.89,12076.89,900.0,11790000.0,0.0,0.0,900.0,11790000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/09/2026,12169.08,13200.0,0.0,0.0,12169.08,12169.08,12169.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/09/2026,12169.08,13500.0,-300.0,-0.02222222,12169.08,12169.08,12169.08,101.0,1333500.0,0.0,0.0,101.0,1333500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/09/2026,12445.65,12800.0,700.0,0.0546875,12261.27,12445.65,12261.27,2400.0,32050000.0,0.0,0.0,2400.0,32050000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/09/2026,11800.32,13300.0,-500.0,-0.03759399,12261.27,12261.27,11800.32,200.0,2610000.0,0.0,0.0,200.0,2610000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/09/2026,12261.27,13300.0,0.0,0.0,12261.27,12261.27,12261.27,520.0,6916000.0,0.0,0.0,520.0,6916000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,12261.27,13300.0,0.0,0.0,12261.27,12261.27,12261.27,28.0,370750.0,0.0,0.0,28.0,370750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,12261.27,13300.0,0.0,0.0,12261.27,12261.27,12261.27,200.0,2660000.0,0.0,0.0,200.0,2660000.0,-200.0,200.0,0.0,0.0,-2660000.0,2660000.0,0.0,0.0
27/08/2026,12261.27,13300.0,0.0,0.0,12261.27,12261.27,12261.27,2.0,26600.0,0.0,0.0,2.0,26600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,12261.27,13300.0,0.0,0.0,12261.27,12261.27,12261.27,1.0,14200.0,0.0,0.0,1.0,14200.0,1.0,-1.0,0.0,0.0,14200.0,-14200.0,0.0,0.0
25/08/2026,12261.27,12900.0,400.0,0.03100775,12307.365,12307.365,12261.27,5801.0,77423600.0,0.0,0.0,5801.0,77423600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,11892.51,12900.0,0.0,0.0,11892.51,11892.51,11892.51,25.0,340150.0,0.0,0.0,25.0,340150.0,23.0,-23.0,0.0,0.0,314351.0,-314350.0,0.0,0.0
