NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,10500.0,10500.0,0.0,0.0,10500.0,10500.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,10500.0,10500.0,0.0,0.0,10500.0,10500.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,10500.0,10500.0,0.0,0.0,10500.0,10500.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,10500.0,10500.0,0.0,0.0,10500.0,10500.0,10500.0,300.0,3150000.0,0.0,0.0,300.0,3150000.0,300.0,-300.0,0.0,0.0,3150000.0,-3150000.0,0.0,0.0
25/08/2026,10500.0,10500.0,0.0,0.0,10500.0,10500.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,10500.0,10500.0,0.0,0.0,10500.0,10500.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/08/2026,10500.0,10500.0,0.0,0.0,10500.0,10500.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,10500.0,10500.0,0.0,0.0,10500.0,10500.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,10500.0,10500.0,0.0,0.0,10500.0,10500.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,10500.0,10500.0,0.0,0.0,10500.0,10500.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,10500.0,10500.0,0.0,0.0,10500.0,10500.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,10500.0,10400.0,100.0,0.00961538,10500.0,10500.0,10500.0,400.0,4200000.0,0.0,0.0,400.0,4200000.0,400.0,-400.0,0.0,0.0,4200000.0,-4200000.0,0.0,0.0
13/08/2026,10400.0,10200.0,200.0,0.01960784,10400.0,10400.0,10400.0,100.0,1040000.0,0.0,0.0,100.0,1040000.0,-100.0,100.0,0.0,0.0,-1040000.0,1040000.0,0.0,0.0
12/08/2026,10200.0,10200.0,0.0,0.0,10200.0,10200.0,10200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2026,10200.0,10200.0,0.0,0.0,10200.0,10200.0,10200.0,1100.0,11220000.0,0.0,0.0,1100.0,11220000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/08/2026,10200.0,10200.0,0.0,0.0,10200.0,10200.0,10200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/08/2026,10200.0,10200.0,0.0,0.0,10200.0,10200.0,10200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/08/2026,10200.0,10200.0,0.0,0.0,10200.0,10200.0,10200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/08/2026,10200.0,10200.0,0.0,0.0,10200.0,10200.0,10200.0,501.0,5110000.0,0.0,0.0,501.0,5110000.0,1.0,-1.0,0.0,0.0,10000.0,-10000.0,0.0,0.0
04/08/2026,10200.0,10200.0,0.0,0.0,10200.0,10200.0,10200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/08/2026,10200.0,10050.0,150.0,0.01492537,10400.0,10400.0,10200.0,600.0,6140000.0,0.0,0.0,600.0,6140000.0,-400.0,400.0,0.0,0.0,-4060000.0,4060000.0,0.0,0.0
31/07/2026,10050.0,10050.0,0.0,0.0,10100.0,10100.0,10050.0,800.0,8050000.0,0.0,0.0,800.0,8050000.0,-700.0,700.0,0.0,0.0,-7045000.0,7045000.0,0.0,0.0
30/07/2026,10050.0,10050.0,0.0,0.0,10050.0,10050.0,10050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29/07/2026,10050.0,10050.0,0.0,0.0,10200.0,10200.0,10050.0,1300.0,13120000.0,0.0,0.0,1300.0,13120000.0,1300.0,-1300.0,0.0,0.0,13120000.0,-13120000.0,0.0,0.0
28/07/2026,10050.0,10050.0,0.0,0.0,10050.0,10050.0,10050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/07/2026,10050.0,10050.0,0.0,0.0,10050.0,10200.0,10050.0,800.0,8055000.0,0.0,0.0,800.0,8055000.0,600.0,-600.0,0.0,0.0,6045000.0,-6045000.0,0.0,0.0
24/07/2026,10050.0,10050.0,0.0,0.0,10200.0,10200.0,10050.0,600.0,6045000.0,0.0,0.0,600.0,6045000.0,-100.0,100.0,0.0,0.0,-1020000.0,1020000.0,0.0,0.0
23/07/2026,10050.0,10050.0,0.0,0.0,10050.0,10050.0,10050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22/07/2026,10050.0,10050.0,0.0,0.0,10050.0,10050.0,10050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/07/2026,10050.0,10000.0,50.0,0.005,10050.0,10050.0,10050.0,500.0,5025000.0,0.0,0.0,500.0,5025000.0,-500.0,500.0,0.0,0.0,-5025000.0,5025000.0,0.0,0.0
20/07/2026,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/07/2026,10000.0,10000.0,0.0,0.0,10000.0,10000.0,10000.0,500.0,5000000.0,0.0,0.0,500.0,5000000.0,500.0,-500.0,0.0,0.0,5000000.0,-5000000.0,0.0,0.0
