NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,7900.0,7740.0,160.0,0.02067183,7780.0,7900.0,7740.0,15300.0,118601000.0,0.0,0.0,15300.0,118601000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,7735.035,9050.0,0.0,0.0,7735.035,7735.035,7658.112,12008.0,108185000.0,0.0,0.0,12008.0,108185000.0,192.0,-192.0,0.0,0.0,1736000.0,-1736000.0,0.0,0.0
27/08/2026,9050.0,9070.0,-20.0,-0.00220507,9000.0,9050.0,8950.0,23600.0,212985000.0,300000.0,2730000000.0,323600.0,2942985000.0,1700.0,-1700.0,0.0,0.0,15300000.0,-15300000.0,0.0,0.0
26/08/2026,9070.0,9090.0,-20.0,-0.00220022,9080.0,9080.0,8920.0,397840.0,3607975600.0,1200000.0,10320000000.0,1597840.0,13927975600.0,1700.0,-1700.0,0.0,0.0,15329000.0,-15329000.0,0.0,0.0
25/08/2026,9090.0,9100.0,-10.0,-0.0010989,9100.0,9190.0,8910.0,205326.0,1868434850.0,0.0,0.0,205326.0,1868434850.0,125.0,-125.0,0.0,0.0,1193750.0,-1193750.0,0.0,0.0
24/08/2026,9100.0,9220.0,-120.0,-0.01301518,9250.0,9250.0,9000.0,214817.0,1982113720.0,0.0,0.0,214817.0,1982113720.0,-503.0,503.0,0.0,0.0,-4527880.0,4527880.0,0.0,0.0
21/08/2026,9220.0,9070.0,150.0,0.01653804,9070.0,9220.0,9000.0,6437.0,58319950.0,0.0,0.0,6437.0,58319950.0,-3600.0,3600.0,0.0,0.0,-32652001.0,32652000.0,0.0,0.0
20/08/2026,9070.0,9050.0,20.0,0.00220994,9100.0,9300.0,8870.0,11500.0,103682000.0,0.0,0.0,11500.0,103682000.0,2800.0,-2800.0,0.0,0.0,25477000.0,-25477000.0,0.0,0.0
19/08/2026,9050.0,9070.0,-20.0,-0.00220507,9050.0,9060.0,9050.0,17010.0,153940970.0,0.0,0.0,17010.0,153940970.0,3110.0,-3110.0,0.0,0.0,28140970.0,-28140970.0,0.0,0.0
18/08/2026,9070.0,9100.0,-30.0,-0.0032967,9070.0,9070.0,9070.0,100.0,907000.0,0.0,0.0,100.0,907000.0,100.0,-100.0,0.0,0.0,907000.0,-907000.0,0.0,0.0
