NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,48000.0,51200.0,-3200.0,-0.0625,48000.0,48000.0,48000.0,101.0,4851200.0,0.0,0.0,101.0,4851200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,51200.0,55000.0,-3800.0,-0.06909091,55000.0,55000.0,51200.0,200.0,10620000.0,0.0,0.0,200.0,10620000.0,0.0,0.0,0.0,0.0,380000.0,-380000.0,0.0,0.0
27/08/2026,55000.0,55000.0,0.0,0.0,55000.0,55000.0,55000.0,18.0,990000.0,0.0,0.0,18.0,990000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,55000.0,55000.0,0.0,0.0,55000.0,55000.0,55000.0,1.0,55000.0,0.0,0.0,1.0,55000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,55000.0,55900.0,-900.0,-0.01610018,55000.0,55000.0,55000.0,100.0,5500000.0,0.0,0.0,100.0,5500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,55900.0,60100.0,-4200.0,-0.06988353,60000.0,60000.0,55900.0,347.0,19852500.0,0.0,0.0,347.0,19852500.0,223.0,-223.0,0.0,0.0,12875701.0,-12875700.0,0.0,0.0
21/08/2026,60100.0,60100.0,0.0,0.0,60100.0,60100.0,60100.0,10.0,601000.0,0.0,0.0,10.0,601000.0,7.0,-7.0,0.0,0.0,420700.0,-420700.0,0.0,0.0
20/08/2026,60100.0,60100.0,0.0,0.0,60100.0,60100.0,60100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,60100.0,56200.0,3900.0,0.06939502,60100.0,60100.0,60100.0,129.0,7752200.0,0.0,0.0,129.0,7752200.0,22.0,-22.0,0.0,0.0,1322199.0,-1322200.0,0.0,0.0
18/08/2026,56200.0,52600.0,3600.0,0.06844106,56200.0,56200.0,56100.0,410.0,23030200.0,0.0,0.0,410.0,23030200.0,104.0,-104.0,0.0,0.0,5844800.0,-5844800.0,0.0,0.0
17/08/2026,52600.0,49200.0,3400.0,0.06910569,52600.0,52600.0,52600.0,500.0,26300000.0,0.0,0.0,500.0,26300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
