NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
10/09/2026,11550.0,11550.0,0.0,0.0,11500.0,11550.0,11350.0,4717.0,53873250.0,0.0,0.0,4717.0,53873250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/09/2026,11550.0,11500.0,50.0,0.00434783,11550.0,11650.0,11350.0,17492.0,200392750.0,0.0,0.0,17492.0,200392750.0,1200.0,0.0,0.0,-1200.0,13800000.0,0.0,0.0,-13800000.0
08/09/2026,11476.17,13100.0,-50.0,-0.00381679,11564.11,11564.11,11476.17,6982.0,91291350.0,0.0,0.0,6982.0,91291350.0,500.0,0.0,0.0,-500.0,6535000.0,0.0,0.0,-6535000.0
07/09/2026,11520.14,12850.0,250.0,0.01945525,11476.17,11520.14,11432.2,24432.0,319253900.0,0.0,0.0,24432.0,319253900.0,-1200.0,0.0,0.0,1200.0,-15660000.0,0.0,0.0,15660000.0
04/09/2026,11300.29,13100.0,-250.0,-0.01908397,11520.14,11520.14,11300.29,4975.0,64642700.0,0.0,0.0,4975.0,64642700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,11520.14,13100.0,0.0,0.0,11608.08,11608.08,11388.23,2001.0,26208100.0,0.0,0.0,2001.0,26208100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,11520.14,13000.0,100.0,0.00769231,11476.17,11520.14,11432.2,5601.0,73018900.0,0.0,0.0,5601.0,73018900.0,-901.0,901.0,0.0,0.0,-11683900.0,11683900.0,0.0,0.0
27/08/2026,11432.2,13050.0,-50.0,-0.00383142,11476.17,11520.14,11432.2,4610.0,60345500.0,0.0,0.0,4610.0,60345500.0,1800.0,-1800.0,0.0,0.0,23580000.0,-23580000.0,0.0,0.0
26/08/2026,11476.17,13100.0,-50.0,-0.00381679,11520.14,11696.02,11476.17,4940.0,65108800.0,0.0,0.0,4940.0,65108800.0,1900.0,-1900.0,0.0,0.0,25110000.0,-25110000.0,0.0,0.0
25/08/2026,11520.14,13000.0,100.0,0.00769231,11432.2,11608.08,11432.2,2618.0,34315200.0,0.0,0.0,2618.0,34315200.0,500.0,-500.0,0.0,0.0,6550000.0,-6550000.0,0.0,0.0
24/08/2026,11432.2,12550.0,450.0,0.03585657,11036.47,11476.17,11036.47,15027.0,193060700.0,0.0,0.0,15027.0,193060700.0,-4160.0,4160.0,0.0,0.0,-53140500.0,53140500.0,0.0,0.0
21/08/2026,11036.47,12500.0,50.0,0.004,11036.47,11080.44,10992.5,3201.0,40092600.0,0.0,0.0,3201.0,40092600.0,400.0,-400.0,0.0,0.0,5000001.0,-5000000.0,0.0,0.0
20/08/2026,10992.5,12600.0,-100.0,-0.00793651,10992.5,11036.47,10992.5,3300.0,41290000.0,0.0,0.0,3300.0,41290000.0,-2700.0,2700.0,0.0,0.0,-33790000.0,33790000.0,0.0,0.0
19/08/2026,11080.44,12550.0,50.0,0.00398406,10992.5,11080.44,10948.53,1816.0,22680100.0,0.0,0.0,1816.0,22680100.0,-1484.0,1484.0,-16.0,0.0,-18514901.0,18514900.0,-200000.0,0.0
18/08/2026,11036.47,12550.0,0.0,0.0,11036.47,11036.47,10948.53,408.0,5100400.0,0.0,0.0,408.0,5100400.0,94.0,-94.0,0.0,0.0,1159700.0,-1159700.0,0.0,0.0
17/08/2026,11036.47,12400.0,150.0,0.01209677,10992.5,11036.47,10948.53,3800.0,47455000.0,0.0,0.0,3800.0,47455000.0,-1100.0,1100.0,0.0,0.0,-13710000.0,13710000.0,0.0,0.0
14/08/2026,10904.56,12550.0,-150.0,-0.01195219,11036.47,11168.38,10904.56,7900.0,99030000.0,0.0,0.0,7900.0,99030000.0,-3200.0,3200.0,0.0,0.0,-39965000.0,39965000.0,0.0,0.0
13/08/2026,11036.47,12350.0,200.0,0.01619433,10948.53,11036.47,10860.59,1520.0,18943000.0,0.0,0.0,1520.0,18943000.0,-800.0,800.0,0.0,0.0,-9975000.0,9975000.0,0.0,0.0
12/08/2026,10860.59,12200.0,150.0,0.01229508,10728.68,10948.53,10728.68,8877.0,109474400.0,0.0,0.0,8877.0,109474400.0,923.0,-923.0,0.0,0.0,11885600.0,-11885600.0,0.0,0.0
11/08/2026,10728.68,12150.0,50.0,0.00411523,10640.74,10728.68,10596.77,1774.0,21443500.0,0.0,0.0,1774.0,21443500.0,-240.0,240.0,0.0,0.0,-2905500.0,2905500.0,0.0,0.0
