NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,33500.0,33900.0,-400.0,-0.01179941,33600.0,33850.0,33500.0,5892.0,197713100.0,0.0,0.0,5892.0,197713100.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
28/08/2026,33900.0,33850.0,50.0,0.0014771,33550.0,33900.0,33350.0,1620.0,54526000.0,0.0,0.0,1620.0,54526000.0,20.0,-20.0,0,0.0,626000.0,-626000.0,0,0.0
27/08/2026,33850.0,34300.0,-450.0,-0.01311953,34300.0,34300.0,33850.0,1201.0,41104450.0,0.0,0.0,1201.0,41104450.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
26/08/2026,34300.0,34300.0,0.0,0.0,34300.0,34300.0,34300.0,28.0,956200.0,0.0,0.0,28.0,956200.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
25/08/2026,34300.0,34500.0,-200.0,-0.0057971,34500.0,34500.0,34300.0,2601.0,89454900.0,0.0,0.0,2601.0,89454900.0,200.0,-200.0,0,0.0,6900000.0,-6900000.0,0,0.0
24/08/2026,34500.0,34150.0,350.0,0.0102489,34500.0,34500.0,34500.0,2320.0,80062000.0,0.0,0.0,2320.0,80062000.0,2100.0,-2100.0,0,0.0,72450000.0,-72450000.0,0,0.0
21/08/2026,34150.0,34750.0,-600.0,-0.01726619,34500.0,34500.0,34050.0,5400.0,186095000.0,0.0,0.0,5400.0,186095000.0,1000.0,-1000.0,0,0.0,34525000.0,-34525000.0,0,0.0
20/08/2026,34750.0,34750.0,0.0,0.0,34750.0,34750.0,34750.0,13.0,451750.0,0.0,0.0,13.0,451750.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
19/08/2026,34750.0,34700.0,50.0,0.00144092,34750.0,34750.0,34750.0,500.0,17375000.0,0.0,0.0,500.0,17375000.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
18/08/2026,34700.0,34100.0,600.0,0.01759531,34400.0,34700.0,34350.0,13300.0,458449800.0,0.0,0.0,13300.0,458449800.0,767.0,-767.0,0,0.0,26561500.0,-26561500.0,0,0.0
17/08/2026,34100.0,34100.0,0.0,0.0,34100.0,34100.0,34100.0,1202.0,40989000.0,0.0,0.0,1202.0,40989000.0,-1200.0,1200.0,0,0.0,-40920000.0,40920000.0,0,0.0
14/08/2026,34100.0,34200.0,-100.0,-0.00292398,34500.0,34500.0,34100.0,3303.0,112962600.0,0.0,0.0,3303.0,112962600.0,-2197.0,2197.0,0,0.0,-75107400.0,75107400.0,0,0.0
13/08/2026,34200.0,34200.0,0.0,0.0,35000.0,35000.0,34200.0,4974.0,170505000.0,0.0,0.0,4974.0,170505000.0,-1398.0,1398.0,0,0.0,-47810200.0,47810200.0,0,0.0
12/08/2026,34200.0,34500.0,-300.0,-0.00869565,34500.0,34500.0,34200.0,18708.0,641346400.0,0.0,0.0,18708.0,641346400.0,-6299.0,6299.0,0,0.0,-215555500.0,215555500.0,0,0.0
11/08/2026,34500.0,34700.0,-200.0,-0.00576369,34700.0,34700.0,34500.0,1200.0,41530000.0,0.0,0.0,1200.0,41530000.0,-1100.0,1100.0,0,0.0,-38070000.0,38070000.0,0,0.0
10/08/2026,34700.0,34100.0,600.0,0.01759531,34100.0,34700.0,34100.0,1603.0,54913650.0,0.0,0.0,1603.0,54913650.0,400.0,-400.0,0,0.0,13670000.0,-13670000.0,0,0.0
07/08/2026,34100.0,34000.0,100.0,0.00294118,34000.0,34500.0,34000.0,10768.0,369639200.0,0.0,0.0,10768.0,369639200.0,-168.0,168.0,0,0.0,-5749200.0,5749200.0,0,0.0
06/08/2026,34000.0,34300.0,-300.0,-0.00874636,34300.0,34500.0,34000.0,12357.0,420552000.0,0.0,0.0,12357.0,420552000.0,4273.0,-4273.0,0,0.0,145277000.0,-145277000.0,0,0.0
05/08/2026,34300.0,34800.0,-500.0,-0.01436782,34700.0,34700.0,34300.0,3450.0,118542000.0,0.0,0.0,3450.0,118542000.0,-2000.0,2000.0,0,0.0,-68675000.0,68675000.0,0,0.0
04/08/2026,34800.0,34300.0,500.0,0.01457726,34300.0,34800.0,34300.0,6052.0,207860600.0,0.0,0.0,6052.0,207860600.0,-1645.0,1645.0,0,0.0,-56437900.0,56437900.0,0,0.0
03/08/2026,34300.0,34000.0,300.0,0.00882353,34900.0,34900.0,34000.0,15270.0,527247000.0,0.0,0.0,15270.0,527247000.0,-270.0,270.0,0,0.0,-5087000.0,5087000.0,0,0.0
31/07/2026,34000.0,34000.0,0.0,0.0,34000.0,34400.0,33600.0,4037.0,137340800.0,0.0,0.0,4037.0,137340800.0,-1800.0,1800.0,0,0.0,-61300000.0,61300000.0,0,0.0
30/07/2026,34000.0,33600.0,400.0,0.01190476,33700.0,34000.0,33700.0,300.0,10170000.0,0.0,0.0,300.0,10170000.0,-100.0,100.0,0,0.0,-3400000.0,3400000.0,0,0.0
29/07/2026,33600.0,33600.0,0.0,0.0,33600.0,33600.0,33600.0,6300.0,211680000.0,0.0,0.0,6300.0,211680000.0,6300.0,-6300.0,0,0.0,211680000.0,-211680000.0,0,0.0
28/07/2026,33600.0,33600.0,0.0,0.0,33600.0,33900.0,33600.0,10810.0,364001000.0,0.0,0.0,10810.0,364001000.0,-2380.0,2380.0,0,0.0,-80713000.0,80713000.0,0,0.0
27/07/2026,33600.0,34000.0,-400.0,-0.01176471,34000.0,34000.0,33600.0,528.0,17867350.0,0.0,0.0,528.0,17867350.0,-105.0,105.0,0,0.0,-3495000.0,3495000.0,0,0.0
24/07/2026,34000.0,34000.0,0.0,0.0,33050.0,34150.0,33050.0,8110.0,275172700.0,0.0,0.0,8110.0,275172700.0,-900.0,900.0,0,0.0,-30005000.0,30005000.0,0,0.0
23/07/2026,34000.0,34250.0,-250.0,-0.00729927,34100.0,34100.0,33300.0,28696.0,972771000.0,0.0,0.0,28696.0,972771000.0,4070.0,-4070.0,0,0.0,138643000.0,-138643000.0,0,0.0
22/07/2026,34250.0,34200.0,50.0,0.00146199,34200.0,34250.0,33800.0,16681.0,570400200.0,0.0,0.0,16681.0,570400200.0,-14195.0,14195.0,0,0.0,-485465000.0,485465000.0,0,0.0
21/07/2026,34200.0,34100.0,100.0,0.00293255,34100.0,34200.0,34100.0,5835.0,199083500.0,0.0,0.0,5835.0,199083500.0,-2295.0,2295.0,0,0.0,-78369500.0,78369500.0,0,0.0
20/07/2026,34100.0,34500.0,-400.0,-0.0115942,35000.0,35000.0,32800.0,19450.0,664967200.0,0.0,0.0,19450.0,664967200.0,8010.0,-8010.0,0,0.0,274243500.0,-274243500.0,0,0.0
17/07/2026,34500.0,34500.0,0.0,0.0,34500.0,35000.0,34300.0,9817.0,341404200.0,0.0,0.0,9817.0,341404200.0,-4315.0,4315.0,0,0.0,-150334000.0,150334000.0,0,0.0
16/07/2026,34500.0,33400.0,1083.0,0.03240865,35150.0,35300.0,33900.0,11130.0,386068500.0,0.0,0.0,11130.0,386068500.0,-4210.0,4210.0,0,0.0,-146987500.0,146987500.0,0,0.0
15/07/2026,33417.86,42000.0,-1400.0,-0.03333333,34570.2,34652.51,33417.86,9492.0,397425750.0,0.0,0.0,9492.0,397425750.0,-1193.0,1193.0,0,0.0,-50405750.0,50405750.0,0,0.0
14/07/2026,34570.2,42000.0,0.0,0.0,34652.51,34734.82,34570.2,8782.0,369026250.0,0.0,0.0,8782.0,369026250.0,-5581.0,5581.0,0,0.0,-234425250.0,234425250.0,0,0.0
13/07/2026,34570.2,42000.0,0.0,0.0,34734.82,34734.82,34570.2,3101.0,130442000.0,0.0,0.0,3101.0,130442000.0,1100.0,-1100.0,0,0.0,46240000.0,-46240000.0,0,0.0
10/07/2026,34570.2,42300.0,-300.0,-0.0070922,34817.13,34817.13,34570.2,1894.0,79786400.0,0.0,0.0,1894.0,79786400.0,694.0,-694.0,0,0.0,29046200.0,-29046200.0,0,0.0
09/07/2026,34817.13,42350.0,-50.0,-0.00118064,35310.99,35310.99,34817.13,4225.0,179348950.0,0.0,0.0,4225.0,179348950.0,-2500.0,2500.0,0,0.0,-105945000.0,105945000.0,0,0.0
08/07/2026,34858.285,42350.0,0.0,0.0,34858.285,35064.06,34858.285,5404.0,229164600.0,0.0,0.0,5404.0,229164600.0,-3504.0,3504.0,0,0.0,-148699600.0,148699600.0,0,0.0
07/07/2026,34858.285,42300.0,50.0,0.00118203,34734.82,34899.44,34734.82,1432.0,60567500.0,0.0,0.0,1432.0,60567500.0,-330.0,330.0,0,0.0,-13937801.0,13937800.0,0,0.0
06/07/2026,34817.13,42200.0,100.0,0.00236967,34734.82,34817.13,34652.51,1114.0,47019950.0,0.0,0.0,1114.0,47019950.0,-691.0,691.0,0,0.0,-29154350.0,29154350.0,0,0.0
03/07/2026,34734.82,41100.0,1100.0,0.02676399,33829.41,34734.82,33829.41,14796.0,617265200.0,0.0,0.0,14796.0,617265200.0,-6540.0,6540.0,0,0.0,-273908000.0,273908000.0,0,0.0
02/07/2026,33829.41,41100.0,0.0,0.0,33911.72,33911.72,33623.635,1752.0,72048700.0,0.0,0.0,1752.0,72048700.0,-800.0,800.0,0,0.0,-32900000.0,32900000.0,0,0.0
01/07/2026,33829.41,41000.0,100.0,0.00243902,33747.1,33829.41,33500.17,4700.0,192970000.0,0.0,0.0,4700.0,192970000.0,-2200.0,2200.0,0,0.0,-90420000.0,90420000.0,0,0.0
30/06/2026,33747.1,40900.0,100.0,0.00244499,33664.79,33747.1,33664.79,5002.0,205022000.0,0.0,0.0,5002.0,205022000.0,-900.0,900.0,0,0.0,-36890000.0,36890000.0,0,0.0
29/06/2026,33664.79,40800.0,100.0,0.00245098,33664.79,33664.79,33582.48,2607.0,106557750.0,0.0,0.0,2607.0,106557750.0,-806.0,806.0,0,0.0,-32964200.0,32964200.0,0,0.0
26/06/2026,33582.48,40850.0,-50.0,-0.00122399,33417.86,33582.48,33376.705,4931.0,200620750.0,0.0,0.0,4931.0,200620750.0,192.0,-192.0,0,0.0,7833200.0,-7833200.0,0,0.0
