NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,128600.0,128000.0,600.0,0.0046875,129900.0,129900.0,128000.0,2239.0,288976500.0,0.0,0.0,2239.0,288976500.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
28/08/2026,128000.0,128000.0,0.0,0.0,128000.0,128500.0,127000.0,5654.0,723814200.0,0.0,0.0,5654.0,723814200.0,358.0,-358.0,0,0.0,45455801.0,-45455800.0,0,0.0
27/08/2026,128000.0,128700.0,-700.0,-0.00543901,129200.0,129200.0,128000.0,6106.0,782443400.0,0.0,0.0,6106.0,782443400.0,-1200.0,1200.0,0,0.0,-153220000.0,153220000.0,0,0.0
26/08/2026,128700.0,128200.0,500.0,0.00390016,128200.0,129300.0,127600.0,6951.0,890921500.0,0.0,0.0,6951.0,890921500.0,-2470.0,2470.0,0,0.0,-316379000.0,316379000.0,0,0.0
25/08/2026,128200.0,129100.0,-900.0,-0.00697134,128200.0,129600.0,128200.0,5026.0,645492600.0,0.0,0.0,5026.0,645492600.0,606.0,-606.0,0,0.0,77537600.0,-77537600.0,0,0.0
24/08/2026,129100.0,128100.0,1000.0,0.0078064,128200.0,129800.0,128200.0,12759.0,1636433100.0,0.0,0.0,12759.0,1636433100.0,12058.0,-12058.0,0,0.0,1546025000.0,-1546025000.0,0,0.0
21/08/2026,128100.0,127200.0,900.0,0.00707547,127200.0,129000.0,127200.0,9827.0,1253019900.0,0.0,0.0,9827.0,1253019900.0,8483.0,-8483.0,0,0.0,1080734901.0,-1080734900.0,0,0.0
20/08/2026,127200.0,126700.0,500.0,0.00394633,126800.0,127400.0,126700.0,5600.0,710110000.0,0.0,0.0,5600.0,710110000.0,300.0,-300.0,0,0.0,38110000.0,-38110000.0,0,0.0
19/08/2026,126700.0,127700.0,-1000.0,-0.00783085,127700.0,127700.0,126600.0,4345.0,551689300.0,0.0,0.0,4345.0,551689300.0,1398.0,-1398.0,0,0.0,177239900.0,-177239900.0,0,0.0
18/08/2026,127700.0,128700.0,-1000.0,-0.00777001,128000.0,128600.0,127700.0,8359.0,1070260100.0,0.0,0.0,8359.0,1070260100.0,4963.0,-4963.0,0,0.0,635601200.0,-635601200.0,0,0.0
17/08/2026,128700.0,128000.0,700.0,0.00546875,129300.0,129300.0,127700.0,9729.0,1254031100.0,0.0,0.0,9729.0,1254031100.0,9074.0,-9074.0,0,0.0,1170092000.0,-1170092000.0,0,0.0
14/08/2026,128000.0,128900.0,-900.0,-0.00698216,128900.0,128900.0,127700.0,8112.0,1041093800.0,0.0,0.0,8112.0,1041093800.0,6498.0,-6498.0,0,0.0,834432200.0,-834432200.0,0,0.0
13/08/2026,128900.0,128900.0,0.0,0.0,128900.0,130000.0,128000.0,30027.0,3876699500.0,0.0,0.0,30027.0,3876699500.0,16615.0,-16615.0,0,0.0,2144525000.0,-2144525000.0,0,0.0
12/08/2026,128900.0,128700.0,200.0,0.001554,129000.0,129300.0,128200.0,6414.0,826822000.0,0.0,0.0,6414.0,826822000.0,-2510.0,2510.0,0,0.0,-323375000.0,323375000.0,0,0.0
11/08/2026,128700.0,129000.0,-300.0,-0.00232558,129400.0,129500.0,128600.0,18100.0,2335690000.0,0.0,0.0,18100.0,2335690000.0,11700.0,-11700.0,0,0.0,1510350000.0,-1510350000.0,0,0.0
10/08/2026,129000.0,127500.0,1500.0,0.01176471,130900.0,130900.0,128200.0,2754.0,355067200.0,0.0,0.0,2754.0,355067200.0,158.0,-158.0,0,0.0,20361000.0,-20361000.0,0,0.0
07/08/2026,127500.0,128900.0,-1400.0,-0.01086113,129500.0,130000.0,127500.0,24792.0,3195005000.0,0.0,0.0,24792.0,3195005000.0,-10356.0,10356.0,0,0.0,-1329606800.0,1329606800.0,0,0.0
06/08/2026,128900.0,129200.0,-300.0,-0.00232198,130000.0,130200.0,128000.0,4714.0,605008200.0,0.0,0.0,4714.0,605008200.0,-2116.0,2116.0,0,0.0,-271261801.0,271261800.0,0,0.0
05/08/2026,129200.0,130400.0,-1200.0,-0.00920245,127000.0,131900.0,127000.0,11433.0,1469716800.0,0.0,0.0,11433.0,1469716800.0,-2099.0,2099.0,0,0.0,-268332100.0,268332100.0,0,0.0
04/08/2026,130400.0,129000.0,1400.0,0.01085271,129200.0,130800.0,128300.0,2406.0,312064000.0,0.0,0.0,2406.0,312064000.0,100.0,-100.0,0,0.0,13080000.0,-13080000.0,0,0.0
03/08/2026,129000.0,127500.0,1500.0,0.01176471,127500.0,129000.0,127300.0,4607.0,588929800.0,0.0,0.0,4607.0,588929800.0,2244.0,-2244.0,0,0.0,286726800.0,-286726800.0,0,0.0
31/07/2026,127500.0,128000.0,-500.0,-0.00390625,128100.0,128100.0,127500.0,802.0,102532000.0,0.0,0.0,802.0,102532000.0,102.0,-102.0,0,0.0,13022000.0,-13022000.0,0,0.0
30/07/2026,128000.0,128000.0,0.0,0.0,127700.0,128000.0,127700.0,1680.0,215060000.0,0.0,0.0,1680.0,215060000.0,-108.0,108.0,0,0.0,-13836000.0,13836000.0,0,0.0
29/07/2026,128000.0,126000.0,2000.0,0.01587302,126000.0,128000.0,126000.0,544.0,68828100.0,0.0,0.0,544.0,68828100.0,-78.0,78.0,0,0.0,-9827900.0,9827900.0,0,0.0
28/07/2026,126000.0,126000.0,0.0,0.0,126000.0,126900.0,126000.0,3400.0,429210000.0,0.0,0.0,3400.0,429210000.0,-1600.0,1600.0,0,0.0,-201600000.0,201600000.0,0,0.0
27/07/2026,126000.0,127600.0,-1600.0,-0.01253918,129000.0,129600.0,125600.0,7428.0,939733700.0,0.0,0.0,7428.0,939733700.0,-2320.0,2320.0,0,0.0,-292693000.0,292693000.0,0,0.0
24/07/2026,127600.0,127700.0,-100.0,-0.00078309,126000.0,128000.0,126000.0,4564.0,582465500.0,0.0,0.0,4564.0,582465500.0,2061.0,-2061.0,0,0.0,262858000.0,-262858000.0,0,0.0
23/07/2026,127700.0,129700.0,-2000.0,-0.0154202,128600.0,128600.0,126000.0,4325.0,549111500.0,0.0,0.0,4325.0,549111500.0,685.0,-685.0,0,0.0,87084500.0,-87084500.0,0,0.0
22/07/2026,129700.0,130000.0,-300.0,-0.00230769,129000.0,130100.0,126400.0,4334.0,555600400.0,0.0,0.0,4334.0,555600400.0,-120.0,120.0,0,0.0,-15190000.0,15190000.0,0,0.0
21/07/2026,130000.0,130500.0,-500.0,-0.00383142,130000.0,131000.0,130000.0,3615.0,470527500.0,0.0,0.0,3615.0,470527500.0,-415.0,415.0,0,0.0,-53857500.0,53857500.0,0,0.0
20/07/2026,130500.0,131000.0,-500.0,-0.00381679,130000.0,131000.0,128000.0,15027.0,1948934500.0,0.0,0.0,15027.0,1948934500.0,4687.0,-4687.0,0,0.0,607814000.0,-607814000.0,0,0.0
17/07/2026,131000.0,129000.0,2000.0,0.01550388,128300.0,131000.0,128200.0,6812.0,879044600.0,0.0,0.0,6812.0,879044600.0,293.0,-293.0,0,0.0,37550000.0,-37550000.0,0,0.0
16/07/2026,129000.0,128900.0,100.0,0.0007758,131500.0,131500.0,128000.0,11130.0,1434615700.0,0.0,0.0,11130.0,1434615700.0,-1200.0,1200.0,0,0.0,-154379800.0,154379800.0,0,0.0
15/07/2026,128900.0,129400.0,-500.0,-0.00386399,129000.0,129500.0,128900.0,5900.0,761820000.0,0.0,0.0,5900.0,761820000.0,1700.0,-1700.0,0,0.0,219770000.0,-219770000.0,0,0.0
14/07/2026,129400.0,129200.0,200.0,0.00154799,129100.0,129400.0,128900.0,3853.0,497124200.0,0.0,0.0,3853.0,497124200.0,1421.0,-1421.0,0,0.0,183401300.0,-183401300.0,0,0.0
13/07/2026,129200.0,130300.0,-1100.0,-0.00844206,130000.0,130400.0,129200.0,23022.0,2987624400.0,0.0,0.0,23022.0,2987624400.0,3416.0,-3416.0,0,0.0,442475300.0,-442475300.0,0,0.0
10/07/2026,130300.0,130300.0,0.0,0.0,130300.0,130300.0,129600.0,10317.0,1340071500.0,0.0,0.0,10317.0,1340071500.0,-4389.0,4389.0,0,0.0,-569959101.0,569959100.0,0,0.0
09/07/2026,130300.0,130900.0,-600.0,-0.00458365,130900.0,131500.0,130300.0,10768.0,1406266000.0,0.0,0.0,10768.0,1406266000.0,673.0,-673.0,0,0.0,87148600.0,-87148600.0,0,0.0
08/07/2026,130900.0,131600.0,-700.0,-0.00531915,131600.0,131600.0,129900.0,23231.0,3032530500.0,0.0,0.0,23231.0,3032530500.0,338.0,-338.0,0,0.0,43286800.0,-43286800.0,0,0.0
07/07/2026,131600.0,132800.0,-1200.0,-0.00903614,131900.0,131900.0,130000.0,10407.0,1359739600.0,0.0,0.0,10407.0,1359739600.0,-2206.0,2206.0,0,0.0,-288366800.0,288366800.0,0,0.0
06/07/2026,132800.0,133300.0,-500.0,-0.00375094,133600.0,133900.0,132000.0,16015.0,2123971500.0,0.0,0.0,16015.0,2123971500.0,5600.0,-5600.0,0,0.0,743270000.0,-743270000.0,0,0.0
03/07/2026,133300.0,134800.0,-1500.0,-0.0111276,134800.0,134800.0,133200.0,19596.0,2620731400.0,0.0,0.0,19596.0,2620731400.0,-7366.0,7366.0,0,0.0,-984610000.0,984610000.0,0,0.0
02/07/2026,134800.0,134700.0,100.0,0.00074239,135000.0,135400.0,133900.0,9034.0,1211462400.0,0.0,0.0,9034.0,1211462400.0,-3431.0,3431.0,0,0.0,-459586801.0,459586800.0,0,0.0
