NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,23800.0,23350.0,450.0,0.01927195,23400.0,23800.0,23400.0,2500.0,58670000.0,0.0,0.0,2500.0,58670000.0,-700.0,0.0,0.0,700.0,-16380000.0,0.0,0.0,16380000.0
28/08/2026,23350.0,23700.0,-350.0,-0.01476793,23400.0,23400.0,23200.0,600.0,13965000.0,0.0,0.0,600.0,13965000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,23700.0,23800.0,-100.0,-0.00420168,23800.0,23800.0,23250.0,5900.0,140280000.0,0.0,0.0,5900.0,140280000.0,1300.0,-1300.0,0.0,0.0,30865000.0,-30865000.0,0.0,0.0
26/08/2026,23800.0,23250.0,550.0,0.02365591,24000.0,24000.0,23250.0,2400.0,56980000.0,0.0,0.0,2400.0,56980000.0,-1900.0,1900.0,0.0,0.0,-45350000.0,45350000.0,0.0,0.0
25/08/2026,23250.0,23750.0,-500.0,-0.02105263,23250.0,23700.0,23250.0,3100.0,72120000.0,0.0,0.0,3100.0,72120000.0,-1000.0,800.0,0.0,200.0,-23205000.0,18555000.0,0.0,4650000.0
24/08/2026,23750.0,23050.0,700.0,0.03036876,23100.0,23850.0,23100.0,9064.0,213907000.0,0.0,0.0,9064.0,213907000.0,-1644.0,-256.0,0.0,1900.0,-37777000.0,-5903000.0,0.0,43680000.0
21/08/2026,23050.0,23050.0,0.0,0.0,23050.0,23050.0,23050.0,2929.0,67514450.0,0.0,0.0,2929.0,67514450.0,1100.0,-1100.0,0.0,0.0,25355001.0,-25355000.0,0.0,0.0
20/08/2026,23050.0,23000.0,50.0,0.00217391,23100.0,23100.0,23000.0,1000.0,23060000.0,0.0,0.0,1000.0,23060000.0,-300.0,300.0,0.0,0.0,-6905000.0,6905000.0,0.0,0.0
19/08/2026,23000.0,23100.0,-100.0,-0.004329,23050.0,23100.0,23000.0,2934.0,67585300.0,0.0,0.0,2934.0,67585300.0,628.0,772.0,0.0,-1400.0,14531800.0,17738200.0,0.0,-32270000.0
18/08/2026,23100.0,23050.0,50.0,0.0021692,23100.0,23100.0,23100.0,800.0,18480000.0,0.0,0.0,800.0,18480000.0,-500.0,500.0,0.0,0.0,-11550000.0,11550000.0,0.0,0.0
