NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,24800.0,24500.0,300.0,0.0122449,24500.0,24800.0,24500.0,1254.0,30756000.0,0.0,0.0,1254.0,30756000.0,-100.0,100.0,0.0,0.0,-2455000.0,2455000.0,0.0,0.0
27/08/2026,24500.0,24200.0,300.0,0.01239669,24300.0,24500.0,24200.0,4200.0,101900000.0,0.0,0.0,4200.0,101900000.0,-3200.0,3200.0,0.0,0.0,-77480000.0,77480000.0,0.0,0.0
26/08/2026,24200.0,24200.0,0.0,0.0,24500.0,24500.0,24200.0,2842.0,69027400.0,0.0,0.0,2842.0,69027400.0,-605.0,605.0,0.0,0.0,-14692000.0,14692000.0,0.0,0.0
25/08/2026,24200.0,24350.0,-150.0,-0.00616016,24200.0,24400.0,24200.0,5015.0,121413000.0,0.0,0.0,5015.0,121413000.0,-4685.0,4685.0,0.0,0.0,-113397000.0,113397000.0,0.0,0.0
24/08/2026,24350.0,24800.0,-450.0,-0.01814516,24750.0,24750.0,24350.0,1580.0,38531000.0,0.0,0.0,1580.0,38531000.0,-1200.0,1200.0,0.0,0.0,-29300000.0,29300000.0,0.0,0.0
21/08/2026,24800.0,24800.0,0.0,0.0,24200.0,24800.0,24000.0,2193.0,52924300.0,0.0,0.0,2193.0,52924300.0,-1200.0,1200.0,0.0,0.0,-28830000.0,28830000.0,0.0,0.0
20/08/2026,24800.0,24800.0,0.0,0.0,24800.0,24800.0,24800.0,14.0,350000.0,0.0,0.0,14.0,350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,24800.0,24800.0,0.0,0.0,24800.0,24800.0,24800.0,1800.0,44640000.0,0.0,0.0,1800.0,44640000.0,-1800.0,1800.0,0.0,0.0,-44640000.0,44640000.0,0.0,0.0
18/08/2026,24800.0,24800.0,0.0,0.0,24800.0,24800.0,24200.0,8900.0,218140000.0,0.0,0.0,8900.0,218140000.0,-4400.0,4400.0,0.0,0.0,-108160000.0,108160000.0,0.0,0.0
17/08/2026,24800.0,24800.0,0.0,0.0,24200.0,24800.0,23800.0,13341.0,320517700.0,0.0,0.0,13341.0,320517700.0,-12707.0,12707.0,0.0,0.0,-305164901.0,305164900.0,0.0,0.0
14/08/2026,24800.0,24950.0,-150.0,-0.00601202,24850.0,24850.0,24050.0,3176.0,77597800.0,0.0,0.0,3176.0,77597800.0,700.0,-700.0,0.0,0.0,17005000.0,-17005000.0,0.0,0.0
