NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,52500.0,52700.0,-200.0,-0.00379507,53000.0,53000.0,52000.0,26291.0,1381704200.0,0.0,0.0,26291.0,1381704200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,52700.0,52600.0,100.0,0.00190114,52500.0,52700.0,52000.0,58980.0,3086682500.0,0.0,0.0,58980.0,3086682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,52600.0,52400.0,200.0,0.00381679,52300.0,53700.0,52200.0,44767.0,2356445800.0,0.0,0.0,44767.0,2356445800.0,-1256.0,1256.0,0.0,0.0,-65888201.0,65888200.0,0.0,0.0
27/08/2026,52400.0,51800.0,600.0,0.01158301,51800.0,52500.0,51200.0,32716.0,1693124800.0,0.0,0.0,32716.0,1693124800.0,11410.0,-11410.0,0.0,0.0,588094000.0,-588094000.0,0.0,0.0
26/08/2026,51800.0,51400.0,400.0,0.0077821,51700.0,51800.0,51400.0,7760.0,401510000.0,0.0,0.0,7760.0,401510000.0,100.0,-100.0,0.0,0.0,5240000.0,-5240000.0,0.0,0.0
25/08/2026,51400.0,51900.0,-500.0,-0.00963391,52000.0,52000.0,50900.0,56323.0,2888918800.0,0.0,0.0,56323.0,2888918800.0,10115.0,-10115.0,0.0,0.0,518937401.0,-518937400.0,0.0,0.0
24/08/2026,51900.0,50900.0,1000.0,0.01964637,51100.0,52100.0,51100.0,86219.0,4442267100.0,0.0,0.0,86219.0,4442267100.0,57000.0,-57000.0,0.0,0.0,2936080000.0,-2936080000.0,0.0,0.0
21/08/2026,50900.0,50700.0,200.0,0.00394477,50500.0,50900.0,50400.0,14004.0,709872800.0,0.0,0.0,14004.0,709872800.0,6296.0,-6296.0,0.0,0.0,320377200.0,-320377200.0,0.0,0.0
20/08/2026,50700.0,50200.0,500.0,0.00996016,50500.0,50700.0,50000.0,4900.0,245890000.0,0.0,0.0,4900.0,245890000.0,-200.0,200.0,0.0,0.0,-10040000.0,10040000.0,0.0,0.0
19/08/2026,50200.0,51000.0,-800.0,-0.01568627,50300.0,50300.0,50100.0,21901.0,1099640200.0,0.0,0.0,21901.0,1099640200.0,-14500.0,14500.0,0.0,0.0,-728040001.0,728040000.0,0.0,0.0
18/08/2026,51000.0,51000.0,0.0,0.0,50400.0,51000.0,50400.0,21400.0,1080980000.0,0.0,0.0,21400.0,1080980000.0,5100.0,-5100.0,0.0,0.0,257470000.0,-257470000.0,0.0,0.0
17/08/2026,51000.0,50600.0,400.0,0.00790514,51000.0,51000.0,50600.0,7804.0,396528200.0,0.0,0.0,7804.0,396528200.0,-3207.0,3207.0,0.0,0.0,-162815700.0,162815700.0,0.0,0.0
14/08/2026,50600.0,51800.0,-1200.0,-0.02316602,51500.0,51500.0,50300.0,54822.0,2778529600.0,0.0,0.0,54822.0,2778529600.0,24178.0,-24178.0,0.0,0.0,1217510400.0,-1217510400.0,0.0,0.0
13/08/2026,51800.0,50800.0,1000.0,0.01968504,51500.0,52500.0,51000.0,34430.0,1773620000.0,0.0,0.0,34430.0,1773620000.0,-2690.0,2690.0,0.0,0.0,-134180000.0,134180000.0,0.0,0.0
12/08/2026,50800.0,50000.0,800.0,0.016,50500.0,51000.0,50000.0,25809.0,1301661500.0,0.0,0.0,25809.0,1301661500.0,-693.0,693.0,0.0,0.0,-35005500.0,35005500.0,0.0,0.0
11/08/2026,50000.0,48900.0,1100.0,0.02249489,49000.0,50500.0,49000.0,61400.0,3066530000.0,0.0,0.0,61400.0,3066530000.0,45000.0,-45000.0,0.0,0.0,2246470000.0,-2246470000.0,0.0,0.0
10/08/2026,48900.0,48000.0,900.0,0.01875,48000.0,48900.0,48000.0,5100.0,247425000.0,0.0,0.0,5100.0,247425000.0,700.0,-700.0,0.0,0.0,33810000.0,-33810000.0,0.0,0.0
07/08/2026,48000.0,47600.0,400.0,0.00840336,47300.0,48000.0,47300.0,30500.0,1457125000.0,0.0,0.0,30500.0,1457125000.0,18300.0,-18300.0,0.0,0.0,875625000.0,-875625000.0,0.0,0.0
06/08/2026,47600.0,47700.0,-100.0,-0.00209644,47100.0,47600.0,46600.0,2706.0,126730300.0,0.0,0.0,2706.0,126730300.0,-400.0,400.0,0.0,0.0,-18465000.0,18465000.0,0.0,0.0
05/08/2026,47700.0,47700.0,0.0,0.0,47700.0,47700.0,47700.0,2.0,95400.0,0.0,0.0,2.0,95400.0,-2.0,2.0,0.0,0.0,-95400.0,95400.0,0.0,0.0
04/08/2026,47700.0,47550.0,150.0,0.00315457,47500.0,47700.0,47000.0,12200.0,574750000.0,0.0,0.0,12200.0,574750000.0,-1600.0,1600.0,0.0,0.0,-75380000.0,75380000.0,0.0,0.0
03/08/2026,47550.0,47000.0,550.0,0.01170213,47100.0,47600.0,47000.0,4102.0,193319000.0,0.0,0.0,4102.0,193319000.0,-3300.0,3300.0,0.0,0.0,-155465000.0,155465000.0,0.0,0.0
31/07/2026,47000.0,47500.0,-500.0,-0.01052632,47550.0,47550.0,47000.0,7700.0,362215000.0,0.0,0.0,7700.0,362215000.0,2100.0,-2100.0,0.0,0.0,99015000.0,-99015000.0,0.0,0.0
30/07/2026,47500.0,46600.0,900.0,0.0193133,46700.0,47750.0,46600.0,10400.0,486940000.0,0.0,0.0,10400.0,486940000.0,2900.0,-2900.0,0.0,0.0,135990000.0,-135990000.0,0.0,0.0
29/07/2026,46600.0,46500.0,100.0,0.00215054,46900.0,47000.0,46500.0,11805.0,549930750.0,0.0,0.0,11805.0,549930750.0,7600.0,-7600.0,0.0,0.0,353060000.0,-353060000.0,0.0,0.0
