NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,16500.0,16600.0,-100.0,-0.0060241,16000.0,16500.0,15800.0,3000.0,47680000.0,0.0,0.0,3000.0,47680000.0,-200.0,0.0,0.0,200.0,-3160000.0,0.0,0.0,3160000.0
28/08/2026,16600.0,16600.0,0.0,0.0,15900.0,16600.0,15900.0,1100.0,17630000.0,0.0,0.0,1100.0,17630000.0,200.0,-200.0,0.0,0.0,3320000.0,-3320000.0,0.0,0.0
27/08/2026,16600.0,16600.0,0.0,0.0,16600.0,16600.0,16600.0,3.0,48000.0,0.0,0.0,3.0,48000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,16600.0,16900.0,-300.0,-0.01775148,16100.0,16600.0,16100.0,901.0,14661750.0,0.0,0.0,901.0,14661750.0,-100.0,100.0,0.0,0.0,-1620000.0,1620000.0,0.0,0.0
25/08/2026,16900.0,16900.0,0.0,0.0,16100.0,16900.0,16100.0,608.0,9866000.0,1500000.0,24000000000.0,1500608.0,24009866000.0,97.0,-97.0,0.0,0.0,1642750.0,-1642750.0,0.0,0.0
24/08/2026,16900.0,16650.0,250.0,0.01501502,16100.0,16900.0,16000.0,4959.0,80384900.0,0.0,0.0,4959.0,80384900.0,99.0,-99.0,0.0,0.0,1673899.0,-1673900.0,0.0,0.0
21/08/2026,16650.0,17000.0,-350.0,-0.02058824,16300.0,16900.0,16000.0,8400.0,137510000.0,0.0,0.0,8400.0,137510000.0,-5400.0,5500.0,0.0,-100.0,-89385000.0,91065000.0,0.0,-1680000.0
20/08/2026,17000.0,17000.0,0.0,0.0,17000.0,17000.0,17000.0,49.0,788900.0,0.0,0.0,49.0,788900.0,49.0,-49.0,0.0,0.0,788900.0,-788900.0,0.0,0.0
19/08/2026,17000.0,17000.0,0.0,0.0,17000.0,17000.0,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,17000.0,17000.0,0.0,0.0,16950.0,17000.0,16950.0,301.0,5111100.0,1500000.0,24000000000.0,1500301.0,24005111100.0,-301.0,301.0,0.0,0.0,-5111100.0,5111100.0,0.0,0.0
17/08/2026,17000.0,16950.0,50.0,0.00294985,16200.0,17000.0,16200.0,701.0,11511200.0,0.0,0.0,701.0,11511200.0,-599.0,499.0,0.0,100.0,-9783800.0,8163800.0,0.0,1620000.0
