NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,18150.0,18400.0,-250.0,-0.01358696,18500.0,18500.0,18100.0,322603.0,5887004750.0,0.0,0.0,322603.0,5887004750.0,33200.0,0.0,0.0,-33200.0,598945000.0,0.0,0.0,-598945000.0
03/09/2026,18400.0,18350.0,50.0,0.0027248,18500.0,18550.0,18300.0,504065.0,9281140150.0,0.0,0.0,504065.0,9281140150.0,65100.0,0.0,0.0,-65100.0,1198800000.0,0.0,0.0,-1198800000.0
28/08/2026,18350.0,18300.0,50.0,0.00273224,18300.0,18450.0,18150.0,458106.0,8386019950.0,0.0,0.0,458106.0,8386019950.0,44402.0,-101402.0,0.0,57000.0,809579250.0,-1853584250.0,0.0,1044005000.0
27/08/2026,18300.0,18050.0,250.0,0.01385042,18100.0,18300.0,17900.0,391859.0,7079305350.0,0.0,0.0,391859.0,7079305350.0,41800.0,-117400.0,0.0,75600.0,765240000.0,-2131625000.0,0.0,1366385000.0
26/08/2026,18050.0,18250.0,-200.0,-0.0109589,18150.0,18300.0,17900.0,429642.0,7763205250.0,0.0,0.0,429642.0,7763205250.0,-45626.0,52526.0,0.0,-6900.0,-819637100.0,945672100.0,0.0,-126035000.0
25/08/2026,18250.0,18400.0,-150.0,-0.00815217,18400.0,18500.0,18100.0,413202.0,7541619100.0,0.0,0.0,413202.0,7541619100.0,-42710.0,68610.0,0.0,-25900.0,-774513950.0,1248993950.0,0.0,-474480000.0
24/08/2026,18400.0,18200.0,200.0,0.01098901,18350.0,18500.0,18200.0,605114.0,11121274750.0,0.0,0.0,605114.0,11121274750.0,-56003.0,-18297.0,0.0,74300.0,-1021239150.0,-343200850.0,0.0,1364440000.0
21/08/2026,18200.0,17900.0,300.0,0.01675978,18000.0,18350.0,17950.0,818797.0,14907357350.0,0.0,0.0,818797.0,14907357350.0,-83632.0,-112268.0,0.0,195900.0,-1526210349.0,-2044989650.0,0.0,3571200000.0
20/08/2026,17900.0,18100.0,-200.0,-0.01104972,18100.0,18100.0,17800.0,286311.0,5130416450.0,0.0,0.0,286311.0,5130416450.0,43713.0,8387.0,30000.0,-52100.0,781734200.0,151020800.0,538750000.0,-932755000.0
19/08/2026,18100.0,18150.0,-50.0,-0.00275482,18200.0,18200.0,17800.0,362049.0,6490740150.0,0.0,0.0,362049.0,6490740150.0,-126846.0,98446.0,45000.0,28400.0,-2270112950.0,1765242950.0,807250000.0,504870000.0
