NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,91700.0,91500.0,200.0,0.00218579,91400.0,92900.0,90000.0,61860.0,5667231400.0,0.0,0.0,61860.0,5667231400.0,-9800.0,0.0,0,9800.0,-900930000.0,0.0,0,900930000.0
28/08/2026,91500.0,91500.0,0.0,0.0,91500.0,93500.0,91300.0,86145.0,7921496800.0,0.0,0.0,86145.0,7921496800.0,11188.0,-6688.0,0,-4500.0,1030474000.0,-618384000.0,0,-412090000.0
27/08/2026,91500.0,92600.0,-1100.0,-0.01187905,92000.0,93500.0,91200.0,80579.0,7418111400.0,0.0,0.0,80579.0,7418111400.0,-1464.0,2464.0,0,-1000.0,-131521900.0,223301900.0,0,-91780000.0
26/08/2026,92600.0,96000.0,-3400.0,-0.03541667,95900.0,96000.0,92100.0,111430.0,10372701700.0,0.0,0.0,111430.0,10372701700.0,22252.0,12348.0,0,-34600.0,2087568699.0,1141791300.0,0,-3229360000.0
25/08/2026,96000.0,93900.0,2100.0,0.02236422,93900.0,96700.0,93800.0,108987.0,10434741300.0,0.0,0.0,108987.0,10434741300.0,34898.0,-26198.0,0,-8700.0,3336300100.0,-2509040100.0,0,-827260000.0
24/08/2026,93900.0,91200.0,2700.0,0.02960526,91700.0,95900.0,91000.0,130843.0,12154597000.0,0.0,0.0,130843.0,12154597000.0,31149.0,-15149.0,0,-16000.0,2885184899.0,-1384514900.0,0,-1500670000.0
21/08/2026,91200.0,90000.0,1200.0,0.01333333,89000.0,91200.0,88200.0,122743.0,10940254800.0,0.0,0.0,122743.0,10940254800.0,-12978.0,15378.0,0,-2400.0,-1145670100.0,1363200100.0,0,-217530000.0
20/08/2026,90000.0,91000.0,-1000.0,-0.01098901,91000.0,92100.0,86200.0,391647.0,34665427800.0,0.0,0.0,391647.0,34665427800.0,59278.0,-71178.0,0,11900.0,5352724300.0,-6390034300.0,0,1037310000.0
19/08/2026,91000.0,93600.0,-2600.0,-0.02777778,94000.0,94000.0,90700.0,158298.0,14515734800.0,0.0,0.0,158298.0,14515734800.0,6447.0,-22147.0,0,15700.0,566485300.0,-2001605300.0,0,1435120000.0
18/08/2026,93600.0,97000.0,-3400.0,-0.03505155,98000.0,98000.0,93600.0,144597.0,13729253900.0,0.0,0.0,144597.0,13729253900.0,445.0,3055.0,0,-3500.0,65877400.0,273202600.0,0,-339080000.0
17/08/2026,97000.0,98700.0,-1700.0,-0.01722391,99000.0,99000.0,97000.0,64084.0,6266630200.0,0.0,0.0,64084.0,6266630200.0,-2861.0,7961.0,0,-5100.0,-281601500.0,773361500.0,0,-491760000.0
14/08/2026,98700.0,100600.0,-1900.0,-0.01888668,100600.0,101000.0,98100.0,77785.0,7742719200.0,0.0,0.0,77785.0,7742719200.0,12745.0,3155.0,0,-15900.0,1260526400.0,316113600.0,0,-1576640000.0
13/08/2026,100600.0,99100.0,1500.0,0.01513623,98900.0,103900.0,98900.0,80602.0,8171515200.0,0.0,0.0,80602.0,8171515200.0,17820.0,-38020.0,0,20200.0,1813729800.0,-3864309800.0,0,2050580000.0
12/08/2026,99100.0,100300.0,-1200.0,-0.01196411,99100.0,101000.0,98000.0,78124.0,7771734700.0,0.0,0.0,78124.0,7771734700.0,22304.0,-14804.0,0,-7500.0,2217233200.0,-1481173200.0,0,-736060000.0
11/08/2026,100300.0,101500.0,-1200.0,-0.01182266,101600.0,103300.0,99600.0,104715.0,10536664100.0,0.0,0.0,104715.0,10536664100.0,-10964.0,8864.0,0,2100.0,-1117267700.0,891927700.0,0,225340000.0
10/08/2026,101500.0,101200.0,300.0,0.00296443,101800.0,103000.0,100100.0,43082.0,4370411300.0,0.0,0.0,43082.0,4370411300.0,-1451.0,-5849.0,0,7300.0,-145306199.0,-596383800.0,0,741690000.0
07/08/2026,101200.0,100600.0,600.0,0.00596421,100000.0,101900.0,100000.0,40602.0,4097423200.0,0.0,0.0,40602.0,4097423200.0,11159.0,-10959.0,0,-200.0,1128823800.0,-1108593800.0,0,-20230000.0
