NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,12300.0,12200.0,100.0,0.00819672,12200.0,12300.0,12150.0,212919.0,2604764400.0,190000.0,2440000000.0,402919.0,5044764400.0,0.0,0.0,0.0,14400.0,0.0,0.0,0.0,176425000.0
28/08/2026,12200.0,12200.0,0.0,0.0,12350.0,12350.0,12200.0,180432.0,2209686850.0,0.0,0.0,180432.0,2209686850.0,9955.0,-1355.0,0.0,-8600.0,123256350.0,-17696350.0,0.0,-105560000.0
27/08/2026,12200.0,12300.0,-100.0,-0.00813008,12300.0,12400.0,12200.0,155247.0,1908037800.0,30000.0,361500000.0,185247.0,2269537800.0,-21707.0,-393.0,0.0,22100.0,-266787650.0,-5032350.0,0.0,271820000.0
26/08/2026,12300.0,12200.0,100.0,0.00819672,12200.0,12400.0,12150.0,198379.0,2439960550.0,0.0,0.0,198379.0,2439960550.0,19137.0,-27837.0,0.0,8700.0,235513900.0,-341958900.0,0.0,106445000.0
25/08/2026,12200.0,12400.0,-200.0,-0.01612903,12350.0,12500.0,12150.0,297868.0,3664083500.0,30000.0,372000000.0,327868.0,4036083500.0,-80184.0,73384.0,0.0,6800.0,-994725250.0,910035250.0,0.0,84690000.0
24/08/2026,12400.0,12550.0,-150.0,-0.01195219,12650.0,12650.0,12300.0,265374.0,3313341700.0,0.0,0.0,265374.0,3313341700.0,-5074.0,21016.0,0.0,-15942.0,-65373800.0,265610900.0,0.0,-200237100.0
21/08/2026,12550.0,12400.0,150.0,0.01209677,12400.0,12600.0,12350.0,409262.0,5112036850.0,0.0,0.0,409262.0,5112036850.0,-42379.0,33579.0,0.0,8800.0,-531321600.0,419991600.0,0.0,111330000.0
20/08/2026,12400.0,12350.0,50.0,0.00404858,12350.0,12400.0,12250.0,150767.0,1860322800.0,0.0,0.0,150767.0,1860322800.0,46484.0,-24384.0,0.0,-22100.0,573308150.0,-300388150.0,0.0,-272920000.0
19/08/2026,12350.0,12300.0,50.0,0.00406504,12300.0,12450.0,12100.0,229597.0,2812020350.0,0.0,0.0,229597.0,2812020350.0,-51170.0,60370.0,0.0,-9200.0,-629574650.0,745254650.0,0.0,-115680000.0
18/08/2026,12300.0,12300.0,0.0,0.0,12300.0,12400.0,12150.0,167142.0,2053750500.0,0.0,0.0,167142.0,2053750500.0,-43034.0,69434.0,0.0,-26400.0,-528752500.0,852842500.0,0.0,-324090000.0
17/08/2026,12300.0,12200.0,100.0,0.00819672,12350.0,12400.0,12000.0,327864.0,3981306300.0,0.0,0.0,327864.0,3981306300.0,-57773.0,48373.0,0.0,9400.0,-706558451.0,594268450.0,0.0,112290000.0
14/08/2026,12200.0,12500.0,-300.0,-0.024,12450.0,12450.0,12100.0,378121.0,4623441850.0,0.0,0.0,378121.0,4623441850.0,-98692.0,125670.0,0.0,-26978.0,-1206418100.0,1537703600.0,0.0,-331285500.0
13/08/2026,12500.0,12550.0,-50.0,-0.00398406,12550.0,12550.0,12150.0,540353.0,6682941100.0,30000.0,393000000.0,570353.0,7075941100.0,-129219.0,169339.0,0.0,-40120.0,-1603705900.0,2105360900.0,0.0,-501655000.0
12/08/2026,12550.0,12700.0,-150.0,-0.01181102,12550.0,12650.0,12300.0,732042.0,9093343450.0,0.0,0.0,732042.0,9093343450.0,6713.0,20222.0,0.0,-26935.0,82045300.0,251592200.0,0.0,-333637500.0
11/08/2026,12700.0,12900.0,-200.0,-0.01550388,12900.0,12950.0,12700.0,405536.0,5174958100.0,30000.0,408000000.0,435536.0,5582958100.0,-45775.0,65875.0,0.0,-20100.0,-580319650.0,839294650.0,0.0,-258975000.0
10/08/2026,12900.0,13100.0,-200.0,-0.01526718,13050.0,13500.0,12800.0,917297.0,12027618750.0,0.0,0.0,917297.0,12027618750.0,-313680.0,339130.0,0.0,-25450.0,-4134460401.0,4465155400.0,0.0,-330695000.0
07/08/2026,13100.0,12850.0,250.0,0.01945525,12800.0,13150.0,12700.0,418445.0,5398227550.0,30000.0,408000000.0,448445.0,5806227550.0,-139364.0,85675.0,0.0,53689.0,-1803404051.0,1114332600.0,0.0,689071450.0
06/08/2026,12850.0,12750.0,100.0,0.00784314,12750.0,13250.0,12350.0,938129.0,12040639300.0,0.0,0.0,938129.0,12040639300.0,-327305.0,334605.0,0.0,-7300.0,-4251906800.0,4332156800.0,0.0,-80250000.0
05/08/2026,12750.0,12050.0,700.0,0.05809129,12050.0,12850.0,11900.0,1084408.0,13394224350.0,30000.0,384000000.0,1114408.0,13778224350.0,-497892.0,556697.0,0.0,-58805.0,-6151133149.0,6864160150.0,0.0,-713027000.0
04/08/2026,12050.0,11500.0,550.0,0.04782609,11600.0,12150.0,11350.0,581294.0,6755232450.0,0.0,0.0,581294.0,6755232450.0,-158156.0,221756.0,0.0,-63600.0,-1874356400.0,2607986400.0,0.0,-733630000.0
03/08/2026,11500.0,11300.0,200.0,0.01769912,11300.0,11550.0,11300.0,192997.0,2209095050.0,0.0,0.0,192997.0,2209095050.0,-35851.0,-2249.0,0.0,38100.0,-413014100.0,-25270900.0,0.0,438285000.0
31/07/2026,11300.0,11250.0,50.0,0.00444444,11350.0,11500.0,11300.0,273440.0,3102036100.0,0.0,0.0,273440.0,3102036100.0,90317.0,-32817.0,0.0,-57500.0,1024753750.0,-371168750.0,0.0,-653585000.0
30/07/2026,11250.0,11000.0,250.0,0.02272727,11100.0,11400.0,11000.0,314126.0,3508873100.0,0.0,0.0,314126.0,3508873100.0,-58556.0,-28844.0,0.0,87400.0,-654310599.0,-322039400.0,0.0,976350000.0
29/07/2026,11000.0,11100.0,-100.0,-0.00900901,11150.0,11150.0,10800.0,434279.0,4754848300.0,0.0,0.0,434279.0,4754848300.0,42786.0,-172336.0,0.0,129550.0,458281699.0,-1878836700.0,0.0,1420555000.0
28/07/2026,11100.0,11100.0,0.0,0.0,11100.0,11250.0,10900.0,544290.0,6035467350.0,0.0,0.0,544290.0,6035467350.0,-83658.0,-33679.0,0.0,117337.0,-947621951.0,-355943600.0,0.0,1303565550.0
27/07/2026,11100.0,11500.0,-400.0,-0.03478261,11550.0,11600.0,11100.0,555296.0,6335402600.0,0.0,0.0,555296.0,6335402600.0,-70910.0,-41790.0,0.0,112700.0,-815089000.0,-471266000.0,0.0,1286355000.0
24/07/2026,11500.0,11500.0,0.0,0.0,11800.0,11800.0,11300.0,278460.0,3197604600.0,0.0,0.0,278460.0,3197604600.0,-24655.0,-55145.0,0.0,79800.0,-283051800.0,-630873200.0,0.0,913925000.0
23/07/2026,11500.0,11300.0,200.0,0.01769912,11350.0,11900.0,11000.0,610676.0,6886515800.0,0.0,0.0,610676.0,6886515800.0,-174143.0,111643.0,0.0,62500.0,-1954632201.0,1257322200.0,0.0,697310000.0
22/07/2026,11300.0,11800.0,-500.0,-0.04237288,12000.0,12000.0,11300.0,849066.0,9798715450.0,0.0,0.0,849066.0,9798715450.0,-76196.0,86480.0,0.0,-10284.0,-886597251.0,1021512850.0,0.0,-134915600.0
21/07/2026,11800.0,12150.0,-350.0,-0.02880658,12150.0,12350.0,11800.0,356536.0,4292945100.0,0.0,0.0,356536.0,4292945100.0,71569.0,-35469.0,0.0,-36100.0,873702100.0,-433182100.0,0.0,-440520000.0
20/07/2026,12150.0,12850.0,-700.0,-0.05447471,12400.0,12850.0,12050.0,584429.0,7212402400.0,0.0,0.0,584429.0,7212402400.0,278.0,12422.0,0.0,-12700.0,11231200.0,146333800.0,0.0,-157565000.0
17/07/2026,12850.0,12400.0,450.0,0.03629032,12550.0,12950.0,12300.0,735373.0,9365136400.0,0.0,0.0,735373.0,9365136400.0,-195085.0,247285.0,0.0,-52200.0,-2496534300.0,3171299300.0,0.0,-674765000.0
16/07/2026,12400.0,12550.0,-150.0,-0.01195219,12550.0,12550.0,12100.0,429779.0,5289227000.0,0.0,0.0,429779.0,5289227000.0,52807.0,-33907.0,0.0,-18900.0,649936000.0,-413736000.0,0.0,-236200000.0
