NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,26550.0,26550.0,0.0,0.0,26600.0,26600.0,26300.0,7722.0,204544000.0,370000.0,9805000000.0,377722.0,10009544000.0,1600.0,0.0,0.0,-1600.0,42380000.0,0.0,0.0,-42380000.0
28/08/2026,26550.0,26550.0,0.0,0.0,26500.0,26600.0,26200.0,17921.0,474231750.0,0.0,0.0,17921.0,474231750.0,-501.0,1901.0,0.0,-1400.0,-13266650.0,50416650.0,0.0,-37150000.0
27/08/2026,26550.0,26700.0,-150.0,-0.00561798,26550.0,26700.0,26300.0,3207.0,84915750.0,0.0,0.0,3207.0,84915750.0,-198.0,-102.0,0.0,300.0,-5397050.0,-2462950.0,0.0,7860000.0
26/08/2026,26700.0,26600.0,100.0,0.0037594,26600.0,26700.0,26450.0,10596.0,281359400.0,0.0,0.0,10596.0,281359400.0,2680.0,-2680.0,0.0,0.0,70997000.0,-70997000.0,0.0,0.0
25/08/2026,26600.0,26800.0,-200.0,-0.00746269,26300.0,26800.0,26300.0,11830.0,312808950.0,0.0,0.0,11830.0,312808950.0,4399.0,-3999.0,0.0,-400.0,115988250.0,-105328250.0,0.0,-10660000.0
24/08/2026,26800.0,26950.0,-150.0,-0.00556586,26900.0,26950.0,26250.0,21957.0,585329800.0,0.0,0.0,21957.0,585329800.0,-7275.0,9175.0,0.0,-1900.0,-195554350.0,246179350.0,0.0,-50625000.0
21/08/2026,26950.0,26500.0,450.0,0.01698113,26600.0,26950.0,26400.0,43857.0,1166267400.0,0.0,0.0,43857.0,1166267400.0,-21619.0,20819.0,0.0,800.0,-573953500.0,552943500.0,0.0,21010000.0
20/08/2026,26500.0,26100.0,400.0,0.01532567,26100.0,26600.0,26000.0,35711.0,937714600.0,0.0,0.0,35711.0,937714600.0,-200.0,-1600.0,0.0,1800.0,-3310000.0,-43550000.0,0.0,46860000.0
19/08/2026,26100.0,26200.0,-100.0,-0.00381679,26000.0,26200.0,25900.0,22050.0,573625000.0,0.0,0.0,22050.0,573625000.0,0.0,0.0,0.0,0.0,10000.0,-10000.0,0.0,0.0
18/08/2026,26200.0,26200.0,0.0,0.0,26100.0,26200.0,25950.0,35531.0,923752100.0,0.0,0.0,35531.0,923752100.0,-3000.0,3000.0,0.0,0.0,-77880000.0,77880000.0,0.0,0.0
17/08/2026,26200.0,26000.0,200.0,0.00769231,26150.0,26200.0,25900.0,22400.0,582115000.0,318000.0,8427000000.0,340400.0,9009115000.0,-2300.0,1100.0,0.0,1200.0,-59760000.0,28620000.0,0.0,31140000.0
14/08/2026,26000.0,25950.0,50.0,0.00192678,26150.0,26150.0,25850.0,12301.0,319241000.0,0.0,0.0,12301.0,319241000.0,-2000.0,2000.0,0.0,0.0,-51850000.0,51850000.0,0.0,0.0
13/08/2026,25950.0,26200.0,-250.0,-0.00954198,26400.0,26400.0,25850.0,52950.0,1381932950.0,0.0,0.0,52950.0,1381932950.0,-12201.0,11001.0,0.0,1200.0,-318236350.0,286901350.0,0.0,31335000.0
